Method,PSNR (dB),PSNR Std,SSIM,SSIM Std,Edge MSE,Edge MSE Std
Noisy Input,19.685,3.247,0.456,0.14,0.199,0.128
Gaussian Smoothing,22.754,2.163,0.617,0.124,0.159,0.08
Median Filter,23.243,2.416,0.604,0.12,0.117,0.054
Bilateral Filter,21.286,3.652,0.506,0.162,0.135,0.1
Non-Local Means,25.1,2.812,0.66,0.145,0.057,0.035
Wavelet Denoising,22.868,2.749,0.567,0.144,0.091,0.05
Skimage TV,23.754,1.98,0.646,0.126,0.101,0.04
Curvature Flow (8 iter),24.353,2.454,0.629,0.126,0.091,0.043
Classical PM (8 iter),23.137,3.73,0.583,0.168,0.103,0.074
Unified Neural PDE (Ours),22.707,2.985,0.511,0.141,0.119,0.068
